"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
456,Finneon,,,,,,,,134,134,,,,,,108,108,40,55,57,131,131,40,58,69,,,,172,333,49,49,56,49,61,66,330,Water,,Swift Swim,Storm Drain,Water Veil,1′04″,0.4,15.4,7,,,,,,1,66,190,Erratic,50,Blue,Neutral,20,Water 2,,Lv. 31
457,Lumineon,,,,,,,,135,135,,,,,,109,109,41,56,58,132,132,41,59,70,,,,173,334,69,69,76,69,86,91,460,Water,,Swift Swim,Storm Drain,Water Veil,3′11″,1.2,52.9,24,,,,,,2,161,75,Erratic,50,Blue,Neutral,20,Water 2,,
458,Mantyke,Baby,,,,,,,140,140,,233,,139,,,,,,,145,145,49,,,354,46,,164,,45,20,50,60,120,50,345,Water,Flying,Swift Swim,Water Absorb,,3′03″,1,143.3,65,,,,,1,,69,25,Slow,50,Blue,Neutral,25,Undiscovered,,Level Up (Remoraid in Party)
459,Snover,,,,,,,,142,142,,,,,88,,,,,,,,,,,96,,31,217,352,60,62,50,62,60,40,334,Grass,Ice,Snow Warning,,Soundproof,3′03″,1,111.3,50.5,,1,,,,,67,120,Slow,50,White,Neutral,20,Monster,Grass,Lv. 40
460,Abomasnow,,,,,,,,143,143,,,,,89,,,,,,,,,,,97,,32,218,353,90,92,75,92,85,60,494,Grass,Ice,Snow Warning,,Soundproof,7′03″,2.2,298.7,135.5,,1,,1,,,173,60,Slow,50,White,Neutral,20,Monster,Grass,
460.1,Abomasnow (Mega),Mega Evolution,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,90,132,105,132,105,30,594,Grass,Ice,Snow Warning,,,8′10″,2.7,407.9,185,,1,,1,,,208,60,Slow,50,White,Neutral,20,Monster,Grass,
461,Weavile,,,,,,,,145,145,,253,,,92,250,,,122,,327,,,148,,293,,29,204,231,70,120,65,45,85,125,510,Dark,Ice,Pressure,,Pickpocket,3′07″,1.1,75,34,,1,,,,1,179,45,Med Slow,35,Black,Neutral,20,Field,,
462,Magnezone,,,,,,,86,,180,,50,,,71,49,49,,27,,56,56,,27,,,107,,179,211,70,70,115,130,90,60,535,Electric,Steel,Magnet Pull,Sturdy,Analytic,3′11″,1.2,396.8,180,,,,3,,,268,30,Med Fast,50,Gray,None,20,Mineral,,
463,Lickilicky,,,,,181,,,,162,,285,,,135,,,,,,376,,,,123,,55,,126,,110,85,95,80,95,50,515,Normal,,Own Tempo,Oblivious,Cloud Nine,5′07″,1.7,308.6,140,3,,,,,,180,30,Med Fast,50,Pink,Neutral,20,Monster,,
464,Rhyperior,,,,,,,178,,188,,,,52,,,,,,,,,,,,266,185,,122,,115,140,130,55,55,40,535,Ground,Rock,Lightningrod,Solid Rock,Reckless,7′10″,2.4,623.5,282.8,,3,,,,,268,30,Slow,50,Gray,Neutral,20,Monster,Field,
465,Tangrowth,,,,,183,,,,182,,218,,,,,,,,,,,,,,,81,,96,,100,100,125,110,50,50,535,Grass,,Chlorophyll,Leaf Guard,Regenerator,6′07″,2,283.5,128.6,,,2,,,,187,30,Med Fast,50,Blue,Neutral,20,Grass,,
466,Electivire,,,,,,,,,199,,58,,,,228,,,100,,297,,,118,,,,17,184,,75,123,67,95,85,95,540,Electric,,Motor Drive,,Vital Spirit,5′11″,1.8,305.6,138.6,,3,,,,,270,30,Med Fast,50,Yellow,M (75%),25,Human-Like,,
467,Magmortar,,,,,,,,,202,,55,,,,168,,95,,,202,,103,,,,,20,176,,75,95,67,125,95,83,540,Fire,,Flame Body,,Vital Spirit,5′03″,1.6,149.9,68,,,,3,,,270,30,Med Fast,50,Red,M (75%),25,Human-Like,,
468,Togekiss,,,,,,,,,175,,,,,,,,,,,,,,,,259,,,129,,85,50,95,120,115,80,545,Fairy,Flying,Hustle,Serene Grace,Super Luck,4′11″,1.5,83.8,38,,,,2,1,,273,30,Fast,50,White,M (87.5%),10,Flying,Fairy,
469,Yanmega,,,,,102,,,,184,,287,,88,,,,,,,,,,,,,,,106,,86,76,86,116,56,95,515,Bug,Flying,Speed Boost,Tinted Lens,Frisk,6′03″,1.9,113.5,51.5,,2,,,,,180,30,Med Fast,50,Green,Neutral,20,Bug,,
470,Leafeon,Eeveelution,,,,,,,,169,,97,,83,,129,,56,,,159,,60,,,202,,81,31,185,65,110,130,60,65,95,525,Grass,,Leaf Guard,,Chlorophyll,3′03″,1,56.2,25.5,,,2,,,,184,45,Med Fast,35,Green,M (87.5%),35,Field,,
471,Glaceon,Eeveelution,,,,,,,,170,,98,,84,,130,,57,,,160,,61,,,203,,80,32,186,65,60,110,130,95,65,525,Ice,,Snow Cloak,,Ice Body,2′07″,0.8,57.1,25.9,,,,2,,,184,45,Med Fast,35,Blue,M (87.5%),35,Field,,
472,Gliscor,,,,,,,,,154,,222,,,116,,,,,,,,,,,,,,186,,75,95,125,45,75,95,510,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,6′07″,2,93.7,42.5,,,2,,,,179,30,Med Slow,50,Purple,Neutral,20,Bug,,
473,Mamoswine,,,,,197,,,,205,,260,,,78,,,,,,,,,,,77,,9,214,,110,130,80,70,60,80,530,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,8′02″,2.5,641.5,291,,3,,,,,265,50,Slow,50,Brown,Neutral,20,Field,,
474,Porygon-Z,,,,,,,,,194,,,,,,219,,,91,,283,,,104,,,210,,135,,85,80,70,135,75,90,535,Normal,,Adaptability,Download,Analytic,2′11″,0.9,75,34,,,,3,,,268,30,Med Fast,50,Red,None,20,Mineral,,
475,Gallade,,,,,,,32,,160,,,67,,,,,,,,,,,,,123,37,,104,65,68,125,65,65,115,80,518,Psychic,Fighting,Steadfast,Sharpness,Justified,5′03″,1.6,114.6,52,,3,,,,,259,45,Slow,35,White,M (100%),20,Amorphous,,
475.1,Gallade (Mega),Mega Evolution,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,68,165,95,65,115,110,618,Psychic,Fighting,Inner Focus,,,5′03″,1.6,124.3,56.4,,3,,,,,309,45,Slow,35,White,M (100%),20,Amorphous,,
476,Probopass,,,,,,,62,,156,,165,,94,,199,,126,,,255,,156,,,,,,191,,60,55,145,75,150,40,525,Rock,Steel,Sturdy,Magnet Pull,Sand Force,4′07″,1.4,749.6,340,,,1,,2,,184,60,Med Fast,50,Gray,Neutral,20,Mineral,,
477,Dusknoir,,,,,,,155,,191,,,,,,,,,,,,,,,,137,,,160,,45,100,135,65,135,45,525,Ghost,,Pressure,,,7′03″,2.2,235,106.6,,,1,,2,,263,45,Fast,35,Black,Neutral,25,Amorphous,,
478,Froslass,,,,,,,181,,208,,,,,,248,,,120,,325,,,146,,81,,27,207,359,70,80,70,80,70,110,480,Ice,Ghost,Snow Cloak,,Cursed Body,4′03″,1.3,58.6,26.6,,,,,,2,168,75,Med Fast,50,White,F (100%),20,Fairy,Mineral,
479,Rotom,,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,50,77,95,77,91,440,Electric,Ghost,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,154,45,Med Fast,50,Red,None,20,Amorphous,,
479.1,Rotom (Heat),,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,65,107,105,107,86,520,Electric,Fire,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,182,45,Med Fast,50,Red,None,20,Amorphous,,
479.2,Rotom (Wash),,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,65,107,105,107,86,520,Electric,Water,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,182,45,Med Fast,50,Red,None,20,Amorphous,,
479.3,Rotom (Frost),,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,65,107,105,107,86,520,Electric,Ice,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,182,45,Med Fast,50,Red,None,20,Amorphous,,
479.4,Rotom (Fan),,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,65,107,105,107,86,520,Electric,Flying,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,182,45,Med Fast,50,Red,None,20,Amorphous,,
479.5,Rotom (Mow),,,,,,,,,152,,,,,68,,,,,,,,,,,372,,,194,310,50,65,107,105,107,86,520,Electric,Grass,Levitate,,,1′00″,0.3,0.7,0.3,,,,1,,1,182,45,Med Fast,50,Red,None,20,Amorphous,,
480,Uxie,Sub-Legendary,,,,,,,146,146,,,,,,,,,,,,,,,,,,,225,,75,75,130,75,130,95,580,Psychic,,Levitate,,,1′00″,0.3,0.7,0.3,,,2,,1,,290,3,Slow,140,Yellow,None,80,Undiscovered,,
481,Mesprit,Sub-Legendary,,,,,,,147,147,,,,,,,,,,,,,,,,,,,226,,80,105,105,105,105,80,580,Psychic,,Levitate,,,1′00″,0.3,0.7,0.3,,1,,1,1,,290,3,Slow,140,Pink,None,80,Undiscovered,,
482,Azelf,Sub-Legendary,,,,,,,148,148,,,,,,,,,,,,,,,,,,,227,,75,125,70,125,70,115,580,Psychic,,Levitate,,,1′00″,0.3,0.7,0.3,,2,,1,,,290,3,Slow,50,Blue,None,80,Undiscovered,,
483,Dialga (Altered),Legendary,,,,,,,149,149,,,,,,,,,,,,,,,,,,,235,,100,120,120,150,100,90,680,Steel,Dragon,Pressure,,Telepathy,17′09″,5.4,1505.8,683,,,,3,,,340,30,Slow,0,White,None,120,Undiscovered,,
483.1,Dialga (Origin),Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,100,100,120,150,120,90,680,Steel,Dragon,Pressure,,Telepathy,23′00″,7,1873.9,850,,,,3,,,340,30,Slow,0,White,None,120,Undiscovered,,
484,Palkia (Altered),Legendary,,,,,,,150,150,,,,,,,,,,,,,,,,,,,236,,90,120,100,150,120,100,680,Water,Dragon,Pressure,,Telepathy,13′09″,4.2,740.8,336,,,,3,,,340,30,Slow,0,Purple,None,120,Undiscovered,,
484.1,Palkia (Origin),Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,90,100,100,150,120,120,680,Water,Dragon,Pressure,,Telepathy,20′08″,6.3,1455,660,,,,3,,,340,30,Slow,0,Purple,None,120,Undiscovered,,
485,Heatran,Sub-Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,91,90,106,130,106,77,600,Fire,Steel,Flash Fire,,Flame Body,5′07″,1.7,948,430,,,,3,,,300,3,Slow,100,Brown,Neutral,10,Undiscovered,,
486,Regigigas,Sub-Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,110,160,110,80,110,100,670,Normal,,Slow Start,,,12′02″,3.7,925.9,420,,3,,,,,335,3,Slow,0,White,None,120,Undiscovered,,
487,Giratina (Altered),Legendary,,,,,,,,210,,,,,,,,,,,,,,,,,,,237,,150,100,120,100,120,90,680,Ghost,Dragon,Pressure,,Telepathy,14′09″,4.5,1653.5,750,3,,,,,,340,3,Slow,0,Black,None,120,Undiscovered,,
487.1,Giratina (Origin),Legendary,,,,,,,,210,,,,,,,,,,,,,,,,,,,237,,150,120,100,120,100,90,680,Ghost,Dragon,Levitate,,,22′08″,6.9,1433,650,3,,,,,,340,3,Slow,0,Black,None,120,Undiscovered,,
488,Cresselia,Sub-Legendary,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,120,70,110,75,120,85,580,Psychic,,Levitate,,,4′11″,1.5,188.7,85.6,,,,,3,,300,3,Slow,100,Yellow,F (100%),120,Undiscovered,,
489,Phione,Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,80,80,80,80,80,80,480,Water,,Hydration,,,1′04″,0.4,6.8,3.1,1,,,,,,240,30,Slow,50,Blue,None,40,Water 1,Fairy,
490,Manaphy,Mythical,,,,,,,151,151,,,,,,,,,,,,,,,,,,,240,,100,100,100,100,100,100,600,Water,,Hydration,,,1′00″,0.3,3.1,1.4,3,,,,,,300,3,Slow,50,Blue,None,10,Water 1,Fairy,
491,Darkrai,Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,70,90,90,135,90,125,600,Dark,,Bad Dreams,,,4′11″,1.5,111.3,50.5,,,,2,,1,300,3,Slow,0,Black,None,120,Undiscovered,,
492,Shaymin (Land),Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,100,100,100,100,100,100,600,Grass,,Natural Cure,,,0′08″,0.2,4.6,2.1,3,,,,,,300,45,Med Slow,100,Green,None,120,Undiscovered,,
492.1,Shaymin (Sky),Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,100,103,75,120,75,127,600,Grass,Flying,Serene Grace,,,1′04″,0.4,11.5,5.2,,,,,,3,300,45,Med Slow,100,Green,None,120,Undiscovered,,
493,Arceus,Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,120,120,120,120,120,120,720,Normal,,Multitype,,,10′06″,3.2,705.5,320,3,,,,,,360,3,Slow,0,White,None,120,Undiscovered,,
494,Victini,Mythical,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,600,Psychic,Fire,Victory Star,,,1′04″,0.4,8.8,4,3,,,,,,300,3,Slow,100,Yellow,None,120,Undiscovered,,
495,Snivy,Starter,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,45,45,55,45,55,63,308,Grass,,Overgrow,,Contrary,2′00″,0.6,17.9,8.1,,,,,,1,62,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 17
496,Servine,Starter,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,60,60,75,60,75,83,413,Grass,,Overgrow,,Contrary,2′07″,0.8,35.3,16,,,,,,2,145,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 36
497,Serperior,Starter,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,75,75,95,75,95,113,528,Grass,,Overgrow,,Contrary,10′10″,3.3,138.9,63,,,,,,3,264,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,
498,Tepig,Starter,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,65,63,45,45,45,45,308,Fire,,Blaze,,Thick Fat,1′08″,0.5,21.8,9.9,1,,,,,,62,45,Med Slow,50,Red,M (87.5%),20,Field,,Lv. 17
499,Pignite,Starter,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,90,93,55,70,55,55,418,Fire,Fighting,Blaze,,Thick Fat,3′03″,1,122.4,55.5,,2,,,,,146,45,Med Slow,50,Red,M (87.5%),20,Field,,Lv. 36
500,Emboar,Starter,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,110,123,65,100,65,65,528,Fire,Fighting,Blaze,,Reckless,5′03″,1.6,330.7,150,,3,,,,,264,45,Med Slow,50,Red,M (87.5%),20,Field,,
501,Oshawott,Starter,,,,,,,,,7,7,,,,,,,,,,,,,,,,,7,,55,55,45,63,45,45,308,Water,,Torrent,,Shell Armor,1′08″,0.5,13,5.9,,,,1,,,62,45,Med Slow,50,Blue,M (87.5%),20,Field,,Lv. 17
502,Dewott,Starter,,,,,,,,,8,8,,,,,,,,,,,,,,,,,8,,75,75,60,83,60,60,413,Water,,Torrent,,Shell Armor,2′07″,0.8,54,24.5,,,,2,,,145,45,Med Slow,50,Blue,M (87.5%),20,Field,,Lv. 36
503,Samurott,Starter,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,95,100,85,108,70,70,528,Water,,Torrent,,Shell Armor,4′11″,1.5,208.6,94.6,,,,3,,,264,45,Med Slow,50,Blue,M (87.5%),20,Field,,
503.1,Samurott (Hisuian),"Starter, Hisuian Variant",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,90,108,80,100,65,85,528,Water,Dark,Torrent,,Sharpness,4′11″,1.5,128.3,58.2,,,,3,,,264,45,Med Slow,50,Blue,M (87.5%),20,Field,,
504,Patrat,,,,,,,,,,10,10,,,46,,,,,,,,,,,,,,,,45,55,39,35,39,42,255,Normal,,Run Away,Keen Eye,Analytic,1′08″,0.5,25.6,11.6,,1,,,,,51,255,Med Fast,50,Brown,Neutral,15,Field,,Lv. 20
505,Watchog,,,,,,,,,,11,11,,,47,,,,,,,,,,,,,,,,60,85,69,60,69,77,420,Normal,,Illuminate,Keen Eye,Analytic,3′07″,1.1,59.5,27,,2,,,,,147,255,Med Fast,50,Brown,Neutral,15,Field,,
506,Lillipup,,,,,,,,,,12,22,,,,120,,47,,,150,,51,,,,113,,,,45,60,45,25,45,55,275,Normal,,Vital Spirit,Pickup,Run Away,1′04″,0.4,9,4.1,,1,,,,,55,255,Med Slow,50,Brown,Neutral,15,Field,,Lv. 16
507,Herdier,,,,,,,,,,13,23,,,,121,,48,,,151,,52,,,,114,,,,65,80,65,35,65,60,370,Normal,,Intimidate,Sand Rush,Scrappy,2′11″,0.9,32.4,14.7,,2,,,,,130,120,Med Slow,50,Gray,Neutral,15,Field,,Lv. 32
508,Stoutland,,,,,,,,,,14,24,,,,122,,49,,,152,,53,,,,115,,,,85,110,90,45,90,80,500,Normal,,Intimidate,Sand Rush,Scrappy,3′11″,1.2,134.5,61,,3,,,,,250,45,Med Slow,50,Gray,Neutral,15,Field,,
509,Purrloin,,,,,,,,,,15,12,,,42,,,,,,,,,,,44,,,,,41,50,37,50,37,66,281,Dark,,Limber,Unburden,Prankster,1′04″,0.4,22.3,10.1,,,,,,1,56,255,Med Fast,50,Purple,Neutral,20,Field,,Lv. 20
510,Liepard,,,,,,,,,,16,13,,,43,,,,,,,,,,,45,,,,,64,88,50,88,50,106,446,Dark,,Limber,Unburden,Prankster,3′07″,1.1,82.7,37.5,,,,,,2,156,90,Med Fast,50,Purple,Neutral,20,Field,,
511,Pansage,,,,,,,,,,17,37,29,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Grass,,Gluttony,,Overgrow,2′00″,0.6,23.1,10.5,,,,,,1,63,190,Med Fast,50,Green,M (87.5%),20,Field,,Leaf Stone
512,Simisage,,,,,,,,,,18,38,30,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Grass,,Gluttony,,Overgrow,3′07″,1.1,67.2,30.5,,,,,,2,174,75,Med Fast,50,Green,M (87.5%),20,Field,,
513,Pansear,,,,,,,,,,19,39,31,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Fire,,Gluttony,,Blaze,2′00″,0.6,24.3,11,,,,,,1,63,190,Med Fast,50,Red,M (87.5%),20,Field,,Fire Stone
514,Simisear,,,,,,,,,,20,40,32,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Fire,,Gluttony,,Blaze,3′03″,1,61.7,28,,,,,,2,174,75,Med Fast,50,Red,M (87.5%),20,Field,,
515,Panpour,,,,,,,,,,21,41,33,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Water,,Gluttony,,Torrent,2′00″,0.6,29.8,13.5,,,,,,1,63,190,Med Fast,50,Blue,M (87.5%),20,Field,,Water Stone
516,Simipour,,,,,,,,,,22,42,34,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Water,,Gluttony,,Torrent,3′03″,1,63.9,29,,,,,,2,174,75,Med Fast,50,Blue,M (87.5%),20,Field,,
517,Munna,,,,,,,,,,23,86,,,,,,,,,,,,,,90,,,,,76,25,45,67,55,24,292,Psychic,,Forewarn,Synchronize,Telepathy,2′00″,0.6,51.4,23.3,1,,,,,,58,190,Fast,50,Pink,Neutral,10,Field,,Moon Stone
518,Musharna,,,,,,,,,,24,87,,,,,,,,,,,,,,91,,,,,116,55,85,107,95,29,487,Psychic,,Forewarn,Synchronize,Telepathy,3′07″,1.1,133.4,60.5,2,,,,,,170,75,Fast,50,Pink,Neutral,10,Field,,
519,Pidove,,,,,,,,,,25,14,,,,,,,,,,,,,,26,,,,,50,55,50,36,30,43,264,Normal,Flying,Big Pecks,Super Luck,Rivalry,1′00″,0.3,4.6,2.1,,1,,,,,53,255,Med Slow,50,Gray,Neutral,15,Flying,,Lv. 21
520,Tranquill,,,,,,,,,,26,15,,,,,,,,,,,,,,27,,,,,62,77,62,50,42,65,358,Normal,Flying,Big Pecks,Super Luck,Rivalry,2′00″,0.6,33.1,15,,2,,,,,125,120,Med Slow,50,Gray,Neutral,15,Flying,,Lv. 32
521,Unfezant,,,,,,,,,,27,16,,,,,,,,,,,,,,28,,,,,80,115,80,65,55,93,488,Normal,Flying,Big Pecks,Super Luck,Rivalry,3′11″,1.2,63.9,29,,3,,,,,244,45,Med Slow,50,Gray,Neutral,15,Flying,,
522,Blitzle,,,,,,,,,,28,147,,,,,,,,,,,,,,,,,,,45,60,32,50,32,76,295,Electric,,Lightningrod,Motor Drive,Sap Sipper,2′07″,0.8,65.7,29.8,,,,,,1,59,190,Med Fast,50,Black,Neutral,20,Field,,Lv. 27
523,Zebstrika,,,,,,,,,,29,148,,,,,,,,,,,,,,,,,,,75,100,63,80,63,116,497,Electric,,Lightningrod,Motor Drive,Sap Sipper,5′03″,1.6,175.3,79.5,,,,,,2,174,75,Med Fast,50,Black,Neutral,20,Field,,
524,Roggenrola,,,,,,,,,,30,68,,120,,98,98,,,48,120,120,,,60,168,154,,,,55,75,85,25,25,15,280,Rock,,Sturdy,Weak Armor,Sand Force,1′04″,0.4,39.7,18,,,1,,,,56,255,Med Slow,50,Blue,Neutral,15,Mineral,,Lv. 25
525,Boldore,,,,,,,,,,31,69,,121,,99,99,,,49,121,121,,,61,169,155,,,,70,105,105,50,40,20,390,Rock,,Sturdy,Weak Armor,Sand Force,2′11″,0.9,224.9,102,,1,1,,,,137,120,Med Slow,50,Blue,Neutral,15,Mineral,,Trade
526,Gigalith,,,,,,,,,,32,70,,122,,100,100,,,50,122,122,,,62,170,156,,,,85,135,130,60,80,25,515,Rock,,Sturdy,Sand Stream,Sand Force,5′07″,1.7,573.2,260,,3,,,,,258,45,Med Slow,50,Blue,Neutral,15,Mineral,,
527,Woobat,,,,,,,,,,33,66,,55,,,,,,,,,,,,174,151,,,,65,45,43,55,43,72,323,Psychic,Flying,Unaware,Klutz,Simple,1′04″,0.4,4.6,2.1,,,,,,1,65,190,Med Fast,50,Blue,Neutral,15,Field,Flying,Friendship
528,Swoobat,,,,,,,,,,34,67,,56,,,,,,,,,,,,175,152,,,,67,57,55,77,55,114,425,Psychic,Flying,Unaware,Klutz,Simple,2′11″,0.9,23.1,10.5,,,,,,2,149,45,Med Fast,50,Blue,Neutral,15,Field,Flying,
529,Drilbur,,,,,,,,,,35,76,,,,,,,,,,,,,,166,,,,,60,85,40,30,45,68,328,Ground,,Sand Rush,Sand Force,Mold Breaker,1′00″,0.3,18.7,8.5,,1,,,,,66,120,Med Fast,50,Gray,Neutral,20,Field,,Lv. 31
530,Excadrill,,,,,,,,,,36,77,,,,,,,,,,,,,,167,,,,,110,135,60,50,65,88,508,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,2′04″,0.7,89.1,40.4,,2,,,,,178,60,Med Fast,50,Gray,Neutral,20,Field,,
531,Audino,,,,,,,,,,37,36,123,,,,,,,,,,,,,,,21,,,103,60,86,60,86,50,445,Normal,,Healer,Regenerator,Klutz,3′07″,1.1,68.3,31,2,,,,,,390,255,Fast,50,Pink,Neutral,20,Fairy,,
531.1,Audino (Mega),Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,60,126,80,126,50,545,Normal,Fairy,Healer,,,4′11″,1.5,70.5,32,2,,,,,,425,255,Fast,50,White,Neutral,20,Fairy,,
532,Timburr,,,,,,,,,,38,73,,,93,,,,,,,,,,,171,,57,,,75,80,55,25,35,35,305,Fighting,,Guts,Sheer Force,Iron Fist,2′00″,0.6,27.6,12.5,,1,,,,,61,180,Med Slow,70,Gray,M (75%),20,Human-Like,,Lv. 25
533,Gurdurr,,,,,,,,,,39,74,,,94,,,,,,,,,,,172,,58,,,85,105,85,40,50,40,405,Fighting,,Guts,Sheer Force,Iron Fist,3′11″,1.2,88.2,40,,2,,,,,142,90,Med Slow,50,Gray,M (75%),20,Human-Like,,Trade
534,Conkeldurr,,,,,,,,,,40,75,,,95,,,,,,,,,,,173,,59,,,105,140,95,55,65,45,505,Fighting,,Guts,Sheer Force,Iron Fist,4′07″,1.4,191.8,87,,3,,,,,253,45,Med Slow,50,Brown,M (75%),20,Human-Like,,
535,Tympole,,,,,,,,,,41,228,,,,,,,,,,,,,,132,,,,,50,50,40,50,40,64,294,Water,,Swift Swim,Hydration,Water Absorb,1′08″,0.5,9.9,4.5,,,,,,1,59,255,Med Slow,50,Blue,Neutral,20,Water 1,,Lv. 25
536,Palpitoad,,,,,,,,,,42,229,,,,,,,,,,,,,,133,,,,,75,65,55,65,55,69,384,Water,Ground,Swift Swim,Hydration,Water Absorb,2′07″,0.8,37.5,17,2,,,,,,134,120,Med Slow,50,Blue,Neutral,20,Water 1,,Lv. 36
537,Seismitoad,,,,,,,,,,43,230,,,,,,,,,,,,,,134,,,,,105,95,75,85,75,74,509,Water,Ground,Swift Swim,Poison Touch,Water Absorb,4′11″,1.5,136.7,62,3,,,,,,255,45,Med Slow,50,Blue,Neutral,20,Water 1,,
538,Throh,,,,,,,,,,44,267,,97,,,,,,,,,,,,248,,,,,120,100,85,30,85,45,465,Fighting,,Guts,Inner Focus,Mold Breaker,4′03″,1.3,122.4,55.5,2,,,,,,163,45,Med Fast,50,Red,M (100%),20,Human-Like,,
539,Sawk,,,,,,,,,,45,268,,98,,,,,,,,,,,,249,,,,,75,125,75,30,75,85,465,Fighting,,Sturdy,Inner Focus,Mold Breaker,4′07″,1.4,112.4,51,,2,,,,,163,45,Med Fast,50,Blue,M (100%),20,Human-Like,,
540,Sewaddle,,,,,,,,,,46,17,,,,,,,,,,,,,,,,,,,45,53,70,40,60,42,310,Bug,Grass,Swarm,Chlorophyll,Overcoat,1′00″,0.3,5.5,2.5,,,1,,,,62,255,Med Slow,50,Yellow,Neutral,15,Bug,,Lv. 20
541,Swadloon,,,,,,,,,,47,18,,,,,,,,,,,,,,,,,,,55,63,90,50,80,42,380,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,1′08″,0.5,16.1,7.3,,,2,,,,133,120,Med Slow,50,Green,Neutral,15,Bug,,Friendship
542,Leavanny,,,,,,,,,,48,19,,,,,,,,,,,,,,,,,,,75,103,80,70,80,92,500,Bug,Grass,Swarm,Chlorophyll,Overcoat,3′11″,1.2,45.2,20.5,,3,,,,,250,45,Med Slow,50,Yellow,Neutral,15,Bug,,
543,Venipede,,,,,,,,,,49,43,120,,,,,,,,,,,,,,74,,,,30,45,59,30,39,57,260,Bug,Poison,Poison Point,Swarm,Quick Feet,1′04″,0.4,11.7,5.3,,,1,,,,52,255,Med Slow,50,Red,Neutral,15,Bug,,Lv. 22
